id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
398,0,20,10,0.975,0,0,0,9.15154,26,220,9.15154
399,0,20,10,1,0,0,0,9.15154,26,220,9.15154
400,1,22,10,0.025,67,0,27,145.121,5127,13646,145.121
401,1,22,10,0.05,63,0,29,143.568,4303,11106,143.568
402,1,22,10,0.075,49,0,27,109.038,2772,7416,109.038
403,1,22,10,0.1,48,0,26,105.982,2575,6648,105.982
404,1,22,10,0.125,46,0,26,104.279,2002,5232,104.279
405,1,22,10,0.15,42,0,26,92.3376,1864,4680,92.3376
406,1,22,10,0.175,42,0,26,95.3771,1608,4080,95.3771
407,1,22,10,0.2,39,0,26,90.7176,1488,3792,90.7176
408,1,22,10,0.225,40,0,25,90.9347,1277,3216,90.9347
409,1,22,10,0.25,41,0,26,92.3376,1186,3096,92.3376
410,1,22,10,0.275,38,0,26,86.0915,1151,2856,86.0915
411,1,22,10,0.3,36,0,26,82.7346,1093,2784,82.7346
412,1,22,10,0.325,37,0,26,83.6365,940,2448,83.6365
